IPC,ÊýÁ¿
B21K3/00,116
B21K31/00,7
B21K5/00,53
B21K7/00,28
B21K9/00,8
B21L1/00,110
B21L11/00,49
B21L13/00,14
B21L15/00,141
B21L17/00,15
B21L19/00,329
B21L21/00,218
B21L3/00,53
B21L5/00,11
B21L7/00,7
B21L9/00,63
B21L99/00,6
B22C1/00,1763
B22C11/00,91
B22C13/00,44
B22C15/00,72
B22C17/00,200
B22C19/00,1126
B22C21/00,531
B22C23/00,1002
B22C25/00,172
B22C3/00,3187
B22C5/00,1136
B22C7/00,547
B22C9/00,1104
B22D1/00,3436
B22D11/00,1564
B22D13/00,1019
B22D15/00,485
B22D17/00,2387
B22D18/00,228
B22D19/00,1230
B22D2/00,1542
B22D21/00,483
B22D23/00,321
B22D25/00,298
B22D27/00,302
B22D29/00,672
B22D3/00,201
B22D30/00,1458
B22D31/00,3078
B22D33/00,160
B22D35/00,383
B22D37/00,723
B22D39/00,293
B22D41/00,3127
B22D43/00,1830
B22D45/00,1021
B22D46/00,574
B22D47/00,463
B22D5/00,175
B22D7/00,879
B22D9/00,598
B22F1/00,15260
B22F3/00,3056
B22F5/00,2925
B22F7/00,373
B22F8/00,136
B22F9/00,787
B23B1/00,1573
B23B11/00,344
B23B13/00,485
B23B15/00,3154
B23B17/00,297
B23B19/00,1453
B23B21/00,2823
B23B23/00,2045
B23B25/00,3222
B23B27/00,6315
B23B29/00,420
B23B3/00,192
B23B31/00,422
B23B33/00,108
B23B35/00,1606
B23B37/00,130
B23B39/00,4017
B23B41/00,14871
B23B43/00,476
B23B45/00,1057
B23B47/00,10266
B23B49/00,1555
B23B5/00,3225
B23B51/00,4999
B23B7/00,375
B23B9/00,152
B23C1/00,638
B23C3/00,6258
B23C5/00,1714
B23C7/00,107
B23C9/00,4472
B23D1/00,45
B23D11/00,25
B23D13/00,400
B23D15/00,394
B23D17/00,502
B23D19/00,4399
B23D21/00,5450
B23D23/00,167
B23D25/00,46
B23D27/00,1001
B23D29/00,305
B23D3/00,36
B23D31/00,1539
B23D33/00,8467
B23D35/00,3201
B23D36/00,412
B23D37/00,89
B23D39/00,280
B23D41/00,360
B23D43/00,350
B23D45/00,806
B23D47/00,3339
B23D49/00,213
B23D5/00,35
B23D51/00,525
B23D53/00,261
B23D55/00,750
B23D57/00,763
B23D59/00,4143
B23D61/00,316
B23D63/00,129
B23D65/00,1017
B23D67/00,69
B23D69/00,168
B23D7/00,513
B23D71/00,105
B23D73/00,7
B23D75/00,666
B23D77/00,1074
B23D79/00,13078
B23D81/00,42
B23D9/00,84
B23F1/00,74
B23F11/00,160
B23F13/00,213
B23F15/00,128
B23F17/00,294
B23F19/00,668
B23F21/00,307
B23F23/00,2418
B23F3/00,34
B23F5/00,217
B23F7/00,50
B23F9/00,156
B23G1/00,785
B23G11/00,1639
B23G3/00,495
B23G5/00,500
B23G7/00,101
B23G9/00,797
B23H1/00,2705
B23H11/00,5525
B23H3/00,1208
B23H5/00,156
B23H7/00,102
B23H9/00,742
B23K1/00,6813
B23K10/00,3919
B23K101/00,154
B23K103/00,87
B23K11/00,2161
B23K13/00,605
B23K15/00,940
B23K17/00,1
B23K20/00,1071
B23K23/00,464
B23K25/00,289
B23K26/00,5247
B23K28/00,438
B23K3/00,6254
B23K31/00,1605
B23K33/00,2788
B23K35/00,303
B23K37/00,40029
B23K5/00,847
B23K7/00,3520
B23K9/00,3718
B23P11/00,880
B23P13/00,940
B23P15/00,27080
B23P17/00,986
B23P19/00,27462
B23P21/00,17696
B23P23/00,5038
B23P25/00,405
B23P5/00,239
B23P6/00,3590
B23P9/00,435
B23Q1/00,2327
B23Q11/00,38591
B23Q13/00,802
B23Q15/00,1769
B23Q16/00,360
B23Q17/00,5347
B23Q23/00,470
B23Q27/00,90
B23Q3/00,25047
B23Q33/00,54
B23Q35/00,70
B23Q37/00,1641
B23Q39/00,332
B23Q41/00,229
B23Q5/00,1211
B23Q7/00,20558
B23Q9/00,375
B24B1/00,6335
B24B11/00,211
B24B13/00,3113
B24B15/00,140
B24B17/00,123
B24B19/00,10996
B24B21/00,3833
B24B23/00,1182
B24B25/00,501
B24B27/00,21417
B24B29/00,3950
B24B3/00,2641
B24B31/00,634
B24B33/00,322
B24B35/00,607
B24B37/00,4462
B24B39/00,290
B24B41/00,31887
B24B45/00,3396
B24B47/00,2941
B24B49/00,4100
B24B5/00,291
B24B51/00,4207
B24B53/00,548
B24B55/00,11311
B24B57/00,964
B24B7/00,878
B24B9/00,5786
B24C1/00,925
B24C11/00,583
B24C3/00,997
B24C5/00,1201
B24C7/00,2831
B24C9/00,11022
B24D11/00,1776
B24D13/00,276
B24D15/00,217
B24D17/00,260
B24D18/00,5579
B24D3/00,1176
B24D5/00,819
B24D7/00,660
B24D9/00,172
B24D99/00,115
B25B1/00,201
B25B11/00,42994
B25B13/00,866
B25B15/00,1848
B25B17/00,447
B25B19/00,218
B25B21/00,5722
B25B23/00,10265
B25B25/00,823
B25B27/00,15173
B25B28/00,127
B25B29/00,500
B25B3/00,257
B25B31/00,178
B25B33/00,861
B25B5/00,351
B25B7/00,1544
B25B9/00,542
B25C1/00,988
B25C11/00,811
B25C13/00,15
B25C3/00,893
B25C5/00,913
B25C7/00,1413
B25C9/00,18
B25D1/00,1757
B25D11/00,623
B25D13/00,116
B25D15/00,32
B25D16/00,1230
B25D17/00,1246
B25D3/00,164
B25D5/00,74
B25D7/00,162
B25D9/00,316
B25F1/00,2990
B25F3/00,1302
B25F5/00,7953
B25G1/00,1559
B25G3/00,222
B25H1/00,5558
B25H3/00,5029
B25H5/00,7150
B25H7/00,454
B25J1/00,969
B25J11/00,24894
B25J13/00,5088
B25J15/00,11138
B25J17/00,4589
B25J18/00,4287
B25J19/00,17836
B25J21/00,87
B25J3/00,1062
B25J5/00,9370
B25J7/00,515
B25J9/00,16666
B26B1/00,250
B26B11/00,2544
B26B13/00,1021
B26B15/00,278
B26B17/00,243
B26B19/00,217
B26B21/00,209
B26B23/00,532
B26B25/00,291
B26B27/00,781
B26B29/00,73
B26B3/00,1984
B26B5/00,1374
B26B7/00,129
B26B9/00,2050
B26D1/00,2173
B26D11/00,2035
B26D3/00,778
B26D5/00,3998
B26D7/00,13495
B26D9/00,1500
B26F1/00,973
B26F3/00,1423
B27B1/00,32
B27B11/00,44
B27B13/00,711
B27B15/00,11
B27B17/00,718
B27B19/00,162
B27B21/00,318
B27B23/00,42
B27B25/00,922
B27B27/00,393
B27B29/00,671
B27B3/00,76
B27B31/00,929
B27B33/00,40
B27B5/00,332
B27B7/00,44
B27B9/00,344
B27C1/00,806
B27C3/00,1418
B27C5/00,2447
B27C7/00,408
B27C9/00,1584
B27D1/00,1885
B27D3/00,1853
B27D5/00,1732
B27F1/00,472
B27F4/00,21
B27F5/00,185
B27F7/00,100
B27G1/00,379
B27G11/00,1734
B27G13/00,196
B27G15/00,378
B27G17/00,209
B27G19/00,456
B27G21/00,739
B27G23/00,220
B27G3/00,8029
B27G5/00,18
B27H1/00,460
B27H3/00,17
B27H5/00,34
B27H7/00,7
B27J1/00,4504
B27J3/00,125
B27J5/00,100
B27J7/00,516
B27K1/00,318
B27K3/00,584
B27K5/00,4228
B27K7/00,118
B27K9/00,2866
B27L1/00,484
B27L11/00,682
B27L3/00,16
B27L5/00,527
B27L7/00,284
B27L9/00,322
B27M1/00,507
B27M3/00,2586
B27N1/00,1653
B27N3/00,1139
B27N5/00,548
B27N7/00,1921
B27N9/00,29
B28B1/00,3709
B28B11/00,1611
B28B13/00,209
B28B15/00,3962
B28B17/00,9688
B28B19/00,909
B28B21/00,210
B28B23/00,1265
B28B3/00,3672
B28B5/00,208
B28B7/00,8158
B28C1/00,103
B28C3/00,1377
B28C5/00,1478
B28C7/00,2854
B28C9/00,429
B28D1/00,2053
B28D3/00,5
B28D5/00,3894
B28D7/00,14999
B29B11/00,466
B29B13/00,797
B29B15/00,128
B29B17/00,7659
B29B7/00,3018
B29B9/00,1554
B29C31/00,2549
B29C33/00,5771
B29C35/00,2202
B29C37/00,4188
B29C39/00,375
B29C41/00,219
B29C43/00,715
B29C44/00,578
B29C45/00,5751
B29C47/00,5160
B29C49/00,886
B29C51/00,617
B29C53/00,74
B29C55/00,602
B29C57/00,504
B29C59/00,401
B29C61/00,62
B29C63/00,1261
B29C65/00,1881
B29C67/00,7832
B29C69/00,5050
B29C70/00,304
B29C71/00,1359
B29C73/00,414
B29D1/00,66
B29D11/00,2730
B29D12/00,59
B29D15/00,60
B29D16/00,29
B29D17/00,64
B29D19/00,33
B29D21/00,5
B29D22/00,861
B29D23/00,2444
B29D24/00,221
B29D25/00,14
B29D28/00,275
B29D29/00,451
B29D30/00,791
B29D31/00,493
B29D31/02,16
B29D31/50,159
B29D31/502,38
B29D31/505,13
B29D31/508,33
B29D31/51,345
B29D31/512,25
B29D31/515,217
B29D31/518,101
B29D33/00,18
B29D35/00,247
B29D5/00,154
B29D7/00,1039
B29D9/00,262
B29D99/00,1201
B29K1/00,210
B29K101/00,69
B29K103/00,8
B29K105/00,310
B29K19/00,128
B29K201/00,23
B29K21/00,543
B29K221/00,3
B29K223/00,18
B29K225/00,1
B29K23/00,3821
B29K25/00,675
B29K263/00,1
B29K267/00,22
B29K269/00,1
B29K27/00,69
B29K273/00,1
B29K275/00,7
B29K277/00,41
B29K279/00,1
B29K283/00,2
B29K29/00,283
B29K301/00,2
B29K305/00,61
B29K307/00,1
B29K309/00,43
B29K31/00,261
B29K311/00,16
B29K33/00,147
B29K35/00,15
B29K401/00,5
B29K409/00,5
B29K421/00,2
B29K423/00,3
B29K429/00,1
B29K431/00,1
B29K433/00,1
B29K45/00,50
B29K463/00,1
B29K467/00,9
B29K469/00,1
B29K475/00,1
B29K477/00,1
B29K481/00,1
B29K483/00,1
B29K491/00,1
B29K495/00,1
B29K505/00,52
B29K507/00,6
B29K509/00,34
B29K511/00,19
B29K55/00,32
B29K59/00,77
B29K61/00,30
B29K621/00,6
B29K623/00,16
B29K627/00,1
B29K63/00,519
B29K631/00,1
B29K633/00,2
B29K667/00,15
B29K669/00,3
B29K67/00,1712
B29K671/00,2
B29K675/00,1
B29K677/00,13
B29K683/00,6
B29K69/00,589
B29K7/00,85
B29K701/00,5
B29K703/00,2
B29K705/00,138
B29K707/00,1
B29K709/00,6
B29K71/00,227
B29K711/00,6
B29K73/00,3
B29K75/00,2026
B29K77/00,700
B29K79/00,209
B29K81/00,126
B29K83/00,309
B29K85/00,13
B29K86/00,8
B29K9/00,63
B29K91/00,140
B29K95/00,47
B29K96/00,23
B29L1/00,872
B29L11/00,2854
B29L12/00,252
B29L15/00,216
B29L16/00,115
B29L17/00,66
B29L19/00,33
B29L21/00,18
B29L22/00,3227
B29L23/00,8336
B29L24/00,72
B29L25/00,10
B29L28/00,165
B29L29/00,1261
B29L30/00,3563
B29L31/00,2057
B29L5/00,241
B29L7/00,10038
B29L9/00,2099
B30B1/00,486
B30B11/00,1167
B30B12/00,196
B30B13/00,95
B30B15/00,16922
B30B3/00,776
B30B5/00,49
B30B7/00,147
B30B9/00,1439
B31B1/00,539
B31B11/00,20
B31B13/00,2
B31B15/00,90
B31B17/00,97
B31B19/00,165
B31B19/50,1
B31B21/00,15
B31B23/00,57
B31B25/00,18
B31B27/00,14
B31B29/00,90
B31B3/00,165
B31B31/00,12
B31B33/00,5
B31B35/00,3
B31B37/00,23
B31B39/00,76
B31B41/00,110
B31B43/00,327
B31B45/00,32
B31B47/00,9
B31B49/00,88
B31B5/00,60
B31B7/00,82
B31B9/00,5
B31C1/00,252
B31C11/00,360
B31C13/00,24
B31C3/00,180
B31C5/00,44
B31C7/00,8
B31C9/00,2
B31C99/00,5
B31D1/00,292
B31D3/00,242
B31D5/00,1115
B31D99/00,6
B31F1/00,1357
B31F5/00,317
B31F7/00,116
B32B1/00,1152
B32B1/10,54
B32B11/00,103
B32B13/00,449
B32B15/00,1410
B32B17/00,1166
B32B18/00,2283
B32B19/00,372
B32B21/00,485
B32B23/00,170
B32B25/00,807
B32B27/00,5926
B32B29/00,6180
B32B3/00,474
B32B31/00,399
B32B31/10,49
B32B31/12,207
B32B31/14,23
B32B31/28,7
B32B31/30,60
B32B33/00,60802
B32B35/00,41
B32B37/00,7569
B32B38/00,7907
B32B39/00,450
B32B41/00,1247
B32B43/00,820
B32B5/00,1306
B32B7/00,465
B32B9/00,19632
B41B1/00,19
B41B11/00,4
B41B13/00,21
B41B15/00,4
B41B17/00,3
B41B19/00,68
B41B21/00,7
B41B23/00,7
B41B27/00,11
B41B3/00,14
B41B5/00,5
B41B7/00,5
B41B9/00,5
B41C1/00,1059
B41C3/00,35
B41D1/00,1
B41D3/00,1
B41D5/00,5
B41D7/00,17
B41F1/00,38
B41F11/00,130
B41F13/00,1568
B41F15/00,203
B41F16/00,3765
B41F17/00,6729
B41F17/06,9
B41F19/00,2770
B41F21/00,1506
B41F22/00,964
B41F23/00,2406
B41F25/00,104
B41F27/00,285
B41F3/00,24
B41F30/00,31
B41F31/00,815
B41F33/00,4922
B41F35/00,2474
B41F5/00,177
B41F7/00,71
B41F9/00,676
B41G1/00,722
B41G3/00,3
B41G5/00,6
B41G7/00,124
B41J1/00,56
B41J11/00,7600
B41J13/00,1286
B41J15/00,645
B41J17/00,31
B41J19/00,34
B41J2/00,814
B41J21/00,135
B41J23/00,68
B41J25/00,1081
B41J27/00,52
B41J29/00,2393
B41J3/00,1830
B41J31/00,325
B41J32/00,692
B41J33/00,108
B41J35/00,125
B41J5/00,69
B41J7/00,15
B41J9/00,16
B41K1/00,428
B41K3/00,545
B41K5/00,31
B41K99/00,5
B41L1/00,26
B41L13/00,138
B41L15/00,5
B41L17/00,21
B41L19/00,49
B41L21/00,56
B41L23/00,24
B41L25/00,2
B41L27/00,15
B41L29/00,5
B41L3/00,7
B41L31/00,5
B41L33/00,2
B41L35/00,12
B41L38/00,2
B41L39/00,32
B41L41/00,9
B41L43/00,13
B41L45/00,2
B41L47/00,2
B41L49/00,3
B41L7/00,6
B41M1/00,281
B41M3/00,1237
B41M5/00,5593
B41M5/38,1566
B41M7/00,2137
B41M99/00,5
B41N1/00,192
B41N10/00,64
B41N3/00,307
B41N6/00,60
B41N7/00,39
B42B2/00,94
B42B4/00,824
B42B5/00,1081
B42B7/00,8
B42B9/00,439
B42C1/00,91
B42C11/00,105
B42C13/00,1045
B42C15/00,373
B42C17/00,17
B42C19/00,594
B42C3/00,28
B42C5/00,33
B42C7/00,173
B42C9/00,1802
B42C99/00,4
B42D1/00,1219
B42D101/00,14
B42D103/00,5
B42D105/00,9
B42D107/00,20
B42D109/00,36
B42D11/00,48
B42D111/00,25
B42D113/00,1
B42D115/00,10
B42D117/00,6
B42D119/00,1
B42D12/00,1898
B42D121/00,10
B42D13/00,76
B42D15/00,1918
B42D17/00,845
B42D19/00,107
B42D3/00,808
B42D5/00,522
B42D7/00,65
B42D9/00,2933
B42F1/00,138
B42F11/00,183
B42F13/00,461
B42F15/00,312
B42F17/00,619
B42F19/00,24
B42F21/00,405
B42F23/00,40
B42F3/00,462
B42F5/00,254
B42F7/00,1322
B42F9/00,2726
B43K1/00,399
B43K11/00,418
B43K13/00,95
B43K15/00,219
B43K17/00,66
B43K19/00,723
B43K21/00,695
B43K23/00,1865
B43K24/00,579
B43K25/00,277
B43K27/00,979
B43K29/00,6144
B43K3/00,3222
B43K31/00,462
B43K5/00,1418
B43K7/00,975
B43K8/00,296
B43L1/00,6165
B43L11/00,467
B43L12/00,635
B43L13/00,7627
B43L15/00,77
B43L17/00,36
B43L19/00,2391
B43L21/00,5668
B43L23/00,956
B43L25/00,871
B43L27/00,372
B43L3/00,673
B43L5/00,812
B43L7/00,2896
B43L9/00,825
B43M1/00,4
B43M11/00,251
B43M13/00,3
B43M15/00,383
B43M17/00,996
B43M3/00,13
B43M5/00,47
B43M7/00,80
B43M9/00,277
B43M99/00,5542
B44B1/00,3012
B44B11/00,801
B44B3/00,2568
B44B5/00,1996
B44B7/00,268
B44B9/00,67
B44C1/00,1683
B44C3/00,565
B44C5/00,7558
B44C7/00,263
B44D2/00,2406
B44D3/00,3957
B44D5/00,633
B44D7/00,301
B44F1/00,507
B44F11/00,60
B44F3/00,335
B44F5/00,47
B44F7/00,713
B44F9/00,180
B60B1/00,540
B60B11/00,123
B60B15/00,476
B60B17/00,903
B60B19/00,2448
B60B21/00,1125
B60B23/00,106
B60B25/00,65
B60B27/00,3246
B60B29/00,918
B60B3/00,1081
B60B30/00,200
B60B31/00,234
B60B33/00,5286
B60B35/00,1818
B60B37/00,1108
B60B39/00,117
B60B5/00,113
B60B7/00,1552
B60B9/00,331
B60C1/00,6045
B60C11/00,1418
B60C13/00,1154
B60C15/00,863
B60C17/00,790
B60C19/00,1433
B60C23/00,2164
B60C25/00,248
B60C27/00,302
B60C29/00,368
B60C3/00,114
B60C5/00,860
B60C7/00,1414
B60C9/00,963
B60C99/00,16
B60D1/00,323
B60D3/00,13
B60D5/00,279
B60D7/00,25
B60D99/00,8
B60F1/00,405
B60F3/00,2387
B60F5/00,165
B60G1/00,120
B60G11/00,504
B60G13/00,2045
B60G15/00,301
B60G17/00,1214
B60G17/01,3261
B60G21/00,153
B60G23/00,85
B60G25/00,150
B60G3/00,442
B60G5/00,110
B60G7/00,4752
B60G9/00,321
B60G99/00,110
B60H1/00,16928
B60H3/00,5360
B60J1/00,2510
B60J10/00,398
B60J11/00,900
B60J3/00,1691
B60J5/00,1771
B60J7/00,2604
B60J9/00,308
B60K1/00,5173
B60K11/00,647
B60K13/00,59
B60K15/00,460
B60K16/00,1003
B60K17/00,1017
B60K20/00,761
B60K23/00,391
B60K25/00,696
B60K26/00,279
B60K28/00,391
B60K3/00,104
B60K31/00,1411
B60K35/00,5713
B60K37/00,2037
B60K41/00,179
B60K41/02,178
B60K41/04,62
B60K41/06,49
B60K41/08,29
B60K41/10,10
B60K41/12,11
B60K41/14,5
B60K41/16,10
B60K41/18,8
B60K41/20,99
B60K41/22,101
B60K41/24,19
B60K41/26,29
B60K41/28,50
B60K5/00,760
B60K6/00,379
B60K7/00,4532
B60K8/00,719
B60L1/00,2376
B60L11/00,1464
B60L13/00,182
B60L15/00,2479
B60L3/00,7139
B60L5/00,778
B60L7/00,483
B60L8/00,3978
B60L9/00,821
B60M1/00,258
B60M3/00,903
B60M5/00,370
B60M7/00,510
B60N2/00,2160
B60N3/00,3346
B60N5/00,37
B60N99/00,9
B60P1/00,2139
B60P3/00,9721
B60P5/00,442
B60P7/00,62
B60P9/00,51
B60Q1/00,2767
B60Q11/00,1067
B60Q3/00,321
B60Q5/00,5574
B60Q7/00,1053
B60Q9/00,12043
B60R1/00,8434
B60R11/00,5685
B60R13/00,3022
B60R15/00,217
B60R16/00,717
B60R17/00,266
B60R19/00,246
B60R21/00,2429
B60R21/22,96
B60R21/24,21
B60R21/28,12
B60R21/32,86
B60R22/00,467
B60R25/00,3461
B60R27/00,595
B60R3/00,2834
B60R5/00,451
B60R7/00,430
B60R9/00,131
B60R99/00,142
B60S1/00,75
B60S11/00,277
B60S13/00,1066
B60S3/00,2327
B60S5/00,3051
B60S9/00,136
B60T1/00,380
B60T10/00,116
B60T11/00,52
B60T13/00,81
B60T15/00,179
B60T17/00,2114
B60T3/00,579
B60T5/00,1447
B60T7/00,181
B60T8/00,623
B60V1/00,175
B60V3/00,12
B60W10/00,301
B60W20/00,6734
B60W30/00,1000
B60W40/00,1987
B60W50/00,3010
B61B1/00,1293
B61B10/00,7
B61B11/00,9
B61B12/00,825
B61B13/00,818
B61B15/00,98
B61B3/00,681
B61B5/00,132
B61B7/00,532
B61B9/00,214
B61C1/00,26
B61C11/00,136
B61C13/00,82
B61C15/00,44
B61C17/00,3289
B61C3/00,962
B61C5/00,187
B61C7/00,92
B61C8/00,4
B61C9/00,191
B61D1/00,214
B61D11/00,563
B61D13/00,82
B61D15/00,2259
B61D17/00,1128
B61D19/00,956
B61D23/00,418
B61D25/00,605
B61D27/00,2813
B61D29/00,333
B61D3/00,709
B61D31/00,368
B61D33/00,2012
B61D35/00,979
B61D37/00,1313
B61D39/00,389
B61D41/00,25
B61D43/00,71
B61D45/00,1028
B61D47/00,530
B61D49/00,631
B61D5/00,159
B61D7/00,180
B61D9/00,85
B61F1/00,533
B61F11/00,59
B61F13/00,356
B61F15/00,152
B61F17/00,10
B61F19/00,90
B61F3/00,242
B61F5/00,723
B61F7/00,322
B61F9/00,909
B61F99/00,3
B61G1/00,200
B61G11/00,183
B61G3/00,60
B61G5/00,167
B61G7/00,483
B61G9/00,122
B61H1/00,646
B61H11/00,354
B61H13/00,224
B61H15/00,135
B61H3/00,47
B61H5/00,402
B61H7/00,165
B61H9/00,75
B61J1/00,56
B61J3/00,143
B61J99/00,2
B61K1/00,203
B61K11/00,604
B61K13/00,653
B61K3/00,255
B61K5/00,112
B61K7/00,93
B61K9/00,470
B61L1/00,232
B61L11/00,30
B61L13/00,51
B61L15/00,1717
B61L17/00,24
B61L19/00,75
B61L21/00,135
B61L23/00,2940
B61L25/00,177
B61L27/00,3550
B61L29/00,152
B61L3/00,207
B61L5/00,249
B61L7/00,15
B61L9/00,28
B61L99/00,8
B62B1/00,916
B62B11/00,465
B62B13/00,88
B62B15/00,60
B62B17/00,53
B62B19/00,14
B62B3/00,13112
B62B5/00,18970
B62B7/00,335
B62B9/00,2815
B62C1/00,11
B62C11/00,1
B62C3/00,17
B62C5/00,11
B62C7/00,5
B62C9/00,2
B62D1/00,167
B62D101/00,1771
B62D103/00,136
B62D105/00,9
B62D107/00,37
B62D109/00,76
B62D11/00,317
B62D111/00,187
B62D113/00,1772
B62D115/00,16
B62D117/00,305
B62D119/00,1387
B62D12/00,232
B62D121/00,58
B62D123/00,61
B62D125/00,16
B62D127/00,91
B62D13/00,335
B62D131/00,49
B62D133/00,84
B62D135/00,3
B62D137/00,1592
B62D15/00,511
B62D17/00,411
B62D21/00,3374
B62D23/00,1028
B62D24/00,400
B62D25/00,2640
B62D27/00,380
B62D29/00,1163
B62D3/00,703
B62D31/00,435
B62D33/00,932
B62D35/00,1917
B62D37/00,234
B62D39/00,240
B62D41/00,83
B62D43/00,607
B62D47/00,195
B62D49/00,667
B62D5/00,453
B62D51/00,62
B62D53/00,584
B62D55/00,483
B62D57/00,196
B62D59/00,163
B62D6/00,4400
B62D61/00,625
B62D63/00,193
B62D65/00,1485
B62D67/00,474
B62D7/00,759
B62D9/00,425
B62H1/00,754
B62H3/00,1585
B62H5/00,3617
B62H7/00,95
B62J1/00,3450
B62J11/00,3264
B62J13/00,157
B62J15/00,449
B62J17/00,1497
B62J19/00,478
B62J21/00,76
B62J23/00,1505
B62J25/00,2004
B62J27/00,1237
B62J29/00,852
B62J3/00,2311
B62J31/00,189
B62J33/00,1146
B62J35/00,1235
B62J37/00,505
B62J39/00,1105
B62J6/00,3529
B62J7/00,402
B62J9/00,4444
B62J99/00,4513
B62K1/00,595
B62K11/00,7354
B62K13/00,1008
B62K15/00,11411
B62K17/00,2301
B62K19/00,1405
B62K21/00,1758
B62K23/00,182
B62K25/00,260
B62K27/00,342
B62K3/00,3586
B62K5/00,897
B62K7/00,543
B62K9/00,2657
B62L1/00,1289
B62L3/00,891
B62L5/00,89
B62M1/00,999
B62M11/00,772
B62M13/00,64
B62M15/00,213
B62M17/00,400
B62M19/00,329
B62M21/00,124
B62M23/00,1083
B62M25/00,197
B62M27/00,70
B62M29/00,111
B62M3/00,1306
B62M5/00,20
B62M6/00,203
B62M7/00,611
B62M9/00,1287
B63B1/00,73
B63B11/00,535
B63B13/00,723
B63B15/00,594
B63B17/00,2852
B63B19/00,802
B63B21/00,622
B63B22/00,1620
B63B23/00,256
B63B25/00,516
B63B27/00,488
B63B29/00,85
B63B3/00,355
B63B35/00,5533
B63B38/00,665
B63B39/00,818
B63B41/00,9
B63B43/00,244
B63B45/00,703
B63B49/00,943
B63B5/00,199
B63B51/00,89
B63B57/00,35
B63B59/00,432
B63B7/00,274
B63B9/00,3325
B63C1/00,128
B63C11/00,369
B63C13/00,50
B63C15/00,27
B63C3/00,305
B63C5/00,164
B63C7/00,185
B63C9/00,1033
B63G1/00,58
B63G11/00,212
B63G13/00,155
B63G3/00,8
B63G5/00,6
B63G6/00,11
B63G7/00,9
B63G8/00,1632
B63G9/00,19
B63H1/00,37
B63H11/00,90
B63H13/00,101
B63H15/00,11
B63H16/00,58
B63H19/00,211
B63H20/00,340
B63H21/00,322
B63H23/00,70
B63H25/00,123
B63H3/00,165
B63H5/00,157
B63H7/00,23
B63H9/00,59
B63J1/00,276
B63J2/00,67
B63J3/00,129
B63J4/00,473
B63J5/00,97
B63J99/00,115
B64B1/00,470
B64C1/00,2584
B64C11/00,620
B64C13/00,248
B64C15/00,76
B64C17/00,189
B64C19/00,346
B64C21/00,128
B64C23/00,243
B64C25/00,150
B64C27/00,637
B64C29/00,1237
B64C3/00,1022
B64C30/00,158
B64C31/00,64
B64C33/00,516
B64C35/00,598
B64C37/00,148
B64C39/00,859
B64C5/00,206
B64C7/00,313
B64C9/00,807
B64C99/00,1
B64D1/00,234
B64D10/00,68
B64D11/00,1205
B64D13/00,365
B64D15/00,122
B64D17/00,220
B64D19/00,26
B64D21/00,16
B64D23/00,93
B64D25/00,336
B64D27/00,155
B64D29/00,257
B64D3/00,60
B64D31/00,392
B64D33/00,194
B64D35/00,420
B64D37/00,233
B64D39/00,152
B64D41/00,452
B64D43/00,796
B64D45/00,2356
B64D47/00,6170
B64D5/00,242
B64D7/00,256
B64D9/00,1536
B64F1/00,2312
B64F3/00,141
B64F5/00,2672
B64G1/00,265
B64G3/00,126
B64G4/00,518
B64G5/00,249
B64G6/00,57
B64G7/00,1198
B64G9/00,25
B64G99/00,116
B65B1/00,907
B65B11/00,1299
B65B13/00,311
B65B15/00,147
B65B17/00,296
B65B19/00,144
B65B21/00,78
B65B23/00,142
B65B25/00,1479
B65B27/00,334
B65B29/00,133
B65B3/00,1623
B65B31/00,1139
B65B33/00,123
B65B35/00,436
B65B37/00,2043
B65B39/00,1924
B65B41/00,339
B65B43/00,657
B65B45/00,150
B65B47/00,591
B65B49/00,493
B65B5/00,610
B65B51/00,1640
B65B53/00,176
B65B55/00,1006
B65B57/00,5255
B65B59/00,2502
B65B61/00,3293
B65B63/00,4296
B65B65/00,6740
B65B67/00,650
B65B69/00,6894
B65B7/00,121
B65B9/00,211
B65C1/00,116
B65C11/00,102
B65C3/00,289
B65C5/00,339
B65C7/00,375
B65C9/00,2422
B65D1/00,1207
B65D13/00,648
B65D17/00,405
B65D19/00,452
B65D21/00,207
B65D23/00,5003
B65D25/00,7051
B65D27/00,538
B65D3/00,105
B65D30/00,516
B65D33/00,4914
B65D35/00,202
B65D37/00,234
B65D39/00,1604
B65D41/00,747
B65D43/00,344
B65D45/00,220
B65D47/00,476
B65D49/00,288
B65D5/00,1850
B65D50/00,312
B65D51/00,525
B65D53/00,2754
B65D55/00,472
B65D57/00,373
B65D59/00,2023
B65D6/00,1127
B65D61/00,8980
B65D63/00,550
B65D65/00,168
B65D67/00,318
B65D69/00,189
B65D71/00,847
B65D73/00,319
B65D75/00,403
B65D77/00,1015
B65D79/00,1118
B65D8/00,595
B65D81/00,842
B65D83/00,3359
B65D85/00,4353
B65D88/00,344
B65D90/00,17798
B65D91/00,93
B65F1/00,18715
B65F3/00,4500
B65F5/00,774
B65F7/00,3982
B65F9/00,3790
B65G1/00,517
B65G11/00,866
B65G13/00,4594
B65G15/00,5312
B65G17/00,854
B65G19/00,189
B65G21/00,2685
B65G23/00,398
B65G25/00,190
B65G27/00,763
B65G29/00,3912
B65G3/00,126
B65G31/00,141
B65G33/00,210
B65G35/00,20442
B65G37/00,9994
B65G39/00,240
B65G41/00,9604
B65G43/00,10681
B65G45/00,193
